Job Title,Company Name,Posted Date,Tech Stack
Senior Full Stack Engineer (Java + React),Yotpo,1 окт.,"AWS, Coralogix, Cypress, Docker, Grafana, Java, Kafka"
Senior Full-Stack Developer,SAP,1 окт.,"Angular, English, Git, HTML5, Java, JavaScript, Jira"
Full-Stack .NET Engineer,Anthill,27 сеп.,".NET, Azure, C#, Microsoft SQL Server"
Full Stack Developer,SAP,27 сеп.,"Elasticsearch, English, Git, JavaScript, Kibana, Microservices, Node.js"
Adobe Experience Manager (AEM) developer,KBC Global Services,27 сеп.,"Adobe Experience Manager, Java, JavaScript, Spring, Spring Boot"
Senior Software Engineer (Data Privacy),SAP,26 сеп.,"Cloud Foundry, English, Java, JavaScript, Microservices, Node.js, OData"
Senior Full Stack Engineer,SBT Solution,26 сеп.,"AWS, English, Enzyme, Google Cloud, Java, JavaScript, Jest"
Fullstack Developer,Amusnet,25 сеп.,"Docker, Node.js, SQL, TypeScript"
(Senior) Full Stack Developer with ABAP,SAP,25 сеп.,"English, GitHub, Go, Java, JavaScript, Jenkins, SAP ABAP"
Senior Software Developer,Dynamo Software Bulgaria,25 сеп.,"C#, CSS3, Git, HTML5, JavaScript, Jest, Microsoft SQL Server"
Senior Full-Stack Developer (Java/Angular),A1 Bulgaria,21 окт.,"Angular, English, Gradle, Hibernate, IntelliJ IDEA, Java, JavaScript"
Full Stack Developer,Methodia,21 окт.,"Bootstrap, English, Jakarta EE, Java, Java J2EE, JavaScript, Node.js"
Senior Software Engineer,Payhawk,17 окт.,"Docker, Google Cloud, Kafka, Kubernetes, Node.js, PlantUML, PostgreSQL"
Software Development Trainee,Yettel,17 окт.,"Bulgarian, English, JavaScript, Linux/UNIX, Object-oriented programming, PHP"
FULLSTACK SOFTWARE ENGINEER WITH GOLANG FOR INTERNAL DEVELOPER PLATFORM m/f/d,Schwarz IT,16 окт.,"Azure, Docker, Git, Go, Google Cloud, JavaScript, Kubernetes"
Junior Full-Stack Developer,ZigiWave,16 окт.,"Docker, Java, React"
.NET Full-Stack Developer,Accedia,14 окт.,".NET, .NET Core, Angular, Azure, English, HTML5, JavaScript"
Junior Web Developer,cleversoft group,14 окт.,"English, JavaScript, jQuery, PHP"
Senior Software Engineer,Sirma,14 окт.,"Angular, ASP.NET, C#, English, Entity Framework, Hibernate, Java"
Lead Software Developer – eJustice,Westernacher Solutions,13 окт.,"Angular, English, German, Hibernate, Oracle, Spring, TypeScript"
Full -Stack Developer (Next.js/ Spring Boot),Commerzbank Digital Technology Center,11 окт.,"Docker, English, Java, JavaScript, Next.js, React, Spring Boot"
