Job Title,Company Name,Posted Date,Tech Stack
MS Teams Expert,A1 Bulgaria,15 окт.,"Anywhere365, AudioCodes, English, Graph API, Microsoft Teams, PowerShell, Samwin"
Implementation Specialist – Core,FactSet,15 окт.,Microsoft Excel
Technical Writer/User Assistance Developer,LeverX,14 окт.,"English, Scrum"
Senior Salesforce Product Manager,Nexo,14 окт.,"Salesforce, Scrum"
Technical Program Manager/Scrum Master,ManpowerGroup Bulgaria,14 окт.,"Azure DevOps, Jira, Scrum"
Prompt Writer – Generative AI,ATN Europe,14 окт.,English
Junior Service Manager,GTT,14 окт.,"English, ITIL, Microsoft Office"
Head of R&D Department,Balkantel,14 окт.,"English, Scrum"
Product Owner,REWE digital,13 окт.,German
Project manager,Devexperts,11 окт.,"English, Scrum"
IT Solution Analyst/ System Analyst,DSK Bank,11 окт.,"C#, English, Java, Python, SQL"
Salesforce Product Manager,Nexo,10 окт.,"Apex, English, Salesforce, Scrum"
Project Manager,Smart IT,10 окт.,"Jira, Kanban, Lean Six Sigma, Scrum, Waterfall"
IT Project Coordinator,A1 Bulgaria,9 окт.,"Confluence, English, Jira, Microsoft Project, Scrum, Shell, Trello"
Product Manager – Partners,RingCentral,9 окт.,"English, Scrum"
Senior Business Consultant,Fadata,9 окт.,English
Senior Software Business Analyst,Smart IT,9 окт.,"Confluence, English, Jira, Kanban, Microsoft Excel, MS Word, Scrum"
CHIEF PRODUCT OFFICER,Talent Hunter,9 окт.,Scrum
Project Manager – Cloud,Tungsten Network,9 окт.,"AWS, Azure, Google Cloud, Kanban, Lean Six Sigma, SaaS, Scrum"
Professional Services Solutions Architect – SAP with French,Tungsten Network,9 окт.,"English, French, SAP"
Solution Architect,LINK Mobility Development Hub,8 окт.,"Azure, English, OAuth, OpenID, TOGAF, UML"
Cloud Delivery Manager,CBTW,8 окт.,"ARM, AWS, AWS CloudFormation, Azure, DNS, Kubernetes, Linux"
Business Expert (Loan and Restructuring Solutions),Commerzbank Digital Technology Center,8 окт.,"English, German, SAP, Scrum"
PMO Consultant,Akkodis Bulgaria,8 окт.,"Jira, Scrum, Waterfall"
Agile Delivery Lead,Kin + Carta,8 окт.,"English, Scrum"
Product Manager,Appolica,8 окт.,"English, Jira, Scrum, Trello"
System Architect,Pariplay,7 окт.,"English, Scrum"
Senior Technical Writer,Blue Lynx,7 окт.,"English, MadCap Flare"
IT Asset Manager,A1 Bulgaria,7 окт.,"AWS, Azure, English, Microsoft Office"
IP Service Ordering Engineer,A1 Bulgaria,7 окт.,"Atlassian, Confluence, Jira"
Customer-Facing Technical Project Manager,Abalta Technologies,7 окт.,"English, Scrum"
Senior Product Owner,TINQIN,4 окт.,"English, Microsoft Office"
Project Management Officer,Endava,4 окт.,English
Technical Writer,Delasport,3 окт.,"Bulgarian, English, ITIL"
Incident Coordinator,Telelink Business Services,3 окт.,"English, Linux, Microsoft SQL Server, Oracle"
Специалист Управление на проблеми,VIVACOM,3 окт.,"ASPICE, English"
Senior Product Manager (Treasury & Payments),Reward Gateway,2 окт.,"English, Java, Linux/UNIX, NoSQL, RDBMS, Scrum, Solidity"
Solutions Architect – Crypto,Paysafe,2 окт.,"Kanban, Scrum"
Technical Product Owner,PayMan Group,2 окт.,"English, Jira"
Release Project Manager,Playtech,2 окт.,"ClickUp, Confluence, CSS3, English, HTML5, JavaScript"
Senior Project Manager,7777 gaming,2 окт.,"Adobe Photoshop, Bulgarian, English"
Product Owner (Game Designer),7777 gaming,2 окт.,"English, ITIL, ServiceNow"
ServiceNow Implementation Consultant – ITSM/ESM,Do IT Wise,2 окт.,AWS
Software Architect,Nexo,2 окт.,"English, Scrum"
Project Manager,Devexperts,2 окт.,English
Technical Writer,Alcatraz AI,2 окт.,"English, Microsoft Excel, Microsoft Office, Scrum"
Junior Product owner – Bancassurance,DSK Bank,1 окт.,SQL
Project Manager I (Content Management),PROS,1 окт.,English
Business Analyst,"Amdaris, an Insight company",1 окт.,"Confluence, English, Jira, Microsoft Excel, Microsoft Office, Scrum, Trello"
"IT Officer, Business Analysis",The World Bank Group – Sofia Shared Services Center,1 окт.,"Confluence, English, Jira, Scrum, Trello"
(Senior) Service Manager,cleversoft group,1 окт.,"English, SAP, Scrum"
Service Manager,cleversoft group,1 окт.,Scrum
SAP Project Manager/Scrum Master,LeverX,30 сеп.,"Confluence, English, Jira, Scrum, Visio"
Product Manager,Devexperts,30 сеп.,"Confluence, Jira, Scrum, Waterfall"
Product Manager (FinTech),SBT Solution,30 сеп.,"Jira, Scrum"
Project Manager II,PROS,30 сеп.,English
Product Manager (Digital Marketing),SBT Solution,30 сеп.,"Jira, Scrum"
Project Manager with German,Adastra,30 сеп.,"English, German, Scrum"
Business Analyst,Carista,29 сеп.,English
Apprentice Product Management – Robotic Pick (6 Months Fixed Term Contract),Ocado Technology,27 сеп.,"Azure SQL Data warehousing, English, Power BI"
Senior Technical Project Manager BI,Publicis Groupe,27 сеп.,English
Product Owner,Nemetschek Bulgaria,27 сеп.,"AutoCad, German"
Специалист „Техническа документация“ с немски език,A1 Bulgaria,26 сеп.,"English, Scrum"
Senior Business Analyst,Ozone Entertainment,26 сеп.,English
Senior ISMS Manager,Plan A,26 сеп.,"English, Google Analytics, Hotjar, Webflow, WordPress"
Product Manager – Entain Studios,Entain,26 сеп.,"English, FlexCube, Oracle"
Website Manager (m/f/d),Chaos,26 сеп.,"English, SQL"
ЕКСПЕРТ В ОТДЕЛ „ПРОДУКТИ“ в Дирекция „Информационни технологии“,Municipal Bank,26 сеп.,English
Junior Business Analyst,Emerging Markets Consulting (EMC),26 сеп.,"Adobe XD, Figma, Kanban, Lean Six Sigma, Scrum, Sketch"
Senior Manager Data and Intelligence,UniCredit Bulbank,25 сеп.,"English, Microsoft SQL Server, Oracle Database, PL/SQL, SOAP"
UI/UX focused Technical Business Analyst,UniCredit Bulbank,25 сеп.,"English, Russian, Scrum, UML, Waterfall"
Information Technology Business Analyst,UniCredit Bulbank,25 сеп.,"Kanban, SAFe, Scrum"
