Job Title,Company Name,Posted Date,Tech Stack
MS SQL Database Administrator,ProCredit Bank,9 окт.,".NET, Azure SQL Data warehousing, English, IIS, Microsoft Dynamics CRM, Microsoft SQL Server, Microsoft Windows Server"
Information Security Engineer – Risk and Compliance,ProCredit Bank,9 окт.,".NET, English, IIS, Microsoft Dynamics CRM, Microsoft SQL Server, Microsoft Windows Server"
MS SQL Database Administrator,ManpowerGroup Bulgaria,9 окт.,"Angular, C#, Git, Java, Jenkins, Linux, Maven"
Devops Engineer(Build and Release),Pronet Gaming,9 окт.,"Azure, Microsoft Windows Server"
Infrastructure Engineer,ManpowerGroup Bulgaria,9 окт.,"Ansible, Microsoft Windows Server, Ruby, Red Hat OpenShift, Python, Puppet, PowerShell"
DevOps Engineer,Easy Consult,9 окт.,"Ansible, Check Point, Cisco, English, Gigamon, Nexus, Python"
DevOps Engineer,CleverPine,8 окт.,"AWS, Azure, Azure DevOps, CircleCI, Docker, ELK stack, English"
"System Administrator – Backup, Storage and Hypervisor",Postbank,8 окт.,"English, Hyper-V, Linux, Microsoft Windows Server, Veeam, VMware, VMware vSphere"
Senior Integration Developer,Postbank,8 окт.,"English, JSON, Microservices, Red Hat OpenShift, SOAP, XML"
Business Information Security Specialist,Amadeus Sofia,8 окт.,"English, SAFe"
Junior Cloud Operations Engineer – SAP Next Talent Program,SAP,8 окт.,"AWS, Azure, Docker, English, Google Cloud, Kubernetes, Unix"
"Специалист Администрация на приложни системи, Дирекция ИТ",Fibank,7 окт.,"English, Oracle, PL/SQL"
"Главен специалист Комуникационна инфраструктура, Дирекция ИТ",Fibank,7 окт.,"Cisco, English, Microsoft Office"
"Специалист Инфраструктура, Дирекция ИТ",Fibank,7 окт.,"English, Microsoft Office"
"Главен специалист Системна администрация, Дирекция ИТ",Fibank,7 окт.,"Bash, English, Linux, Microsoft Office, Microsoft Windows Server, Red Hat, VMware"
DevOps Engineer (Marketplace),Playtech,7 окт.,"AWS, Bash, Docker, English, Git, Groovy, Helm"
Application Administrator,ProCredit Bank,7 окт.,".NET, English, IIS, Microsoft SQL Server, Microsoft Windows Server, Oracle, PL/SQL"
Infrastructure Team Lead,ProCredit Bank,7 окт.,"Azure Active Directory, DNS, English, Microsoft Windows Server"
Database Architect,ManpowerGroup Bulgaria,7 окт.,SQL
Top Talent Program- internship,MSG global solutions,4 окт.,"English, SQL"
Cloud Security Engineer,PayRetailers,4 окт.,"AWS, Azure, NIST CSF, SIEM"
Senior Security Engineer,KBC Global Services,3 окт.,"AWS, Azure, Azure Active Directory, Linux, SIEM, Unix"
DevOps Engineer,HRS,3 окт.,"Ansible, Bash, ELK stack, Fluentd, GitHub, GitLab, Go"
SAP iXp Intern DevOps Engineering- SAP Next Talent Program,SAP,3 окт.,"AWS, Azure, Bash, Dynatrace, English, Go, Grafana"
Junior Cloud DevOps Engineer,SAP,3 окт.,"Docker, Dynatrace, ELK stack, English, Git, GitHub, Google Cloud"
Senior MariaDB/MySQL Administrator,7777 gaming,3 окт.,"InnoDB, MariaDB, MySQL, SQL"
Senior Database Platform Engineer,Man Group,2 окт.,"Ansible, Bash, Docker, Linux, MongoDB, Oracle, Oracle Data Guard"
Cloud Database Engineer,Nemetschek Bulgaria,2 окт.,"Amazon DocumentDB, Amazon DynamoDB, AWS CloudFormation, Cassandra, Elasticsearch, PostgreSQL, PowerShell"
Senior DevOps Engineer,People and Places,2 окт.,"AWS, Azure, Docker, English, Google Cloud, Kubernetes, Linux"
Infrastructure Solution Architect,Cognyte,2 окт.,"Azure Active Directory, Citrix, Linux"
Database Software Engineer,Playtech,2 окт.,"AWS, Java, MySQL, Power BI, Python"
Lead / Principal Data Engineer,Kin + Carta,1 окт.,"Python, SQL"
Senior DevOps Architect,SAP,1 окт.,"AWS, Azure, Docker, Dynatrace, Google Cloud, Grafana, ITIL"
DevOps Engineer,PayMan Group,1 окт.,"Azure, Bash, ELK stack, Grafana, Kubernetes, Microsoft SQL Server, NoSQL"
Junior Cloud Developer – Kubernetes,SAP,1 окт.,"AWS, Azure, Docker, English, Git, GitLab, Go"
OPD Engineer – iLottery,Pariplay,1 окт.,"DNS, English, Jenkins, Load Balancer, SQL, TCP/IP"
Principal Site Reliability Engineer,Fourth,1 окт.,"Ansible, AWS, Azure, Chef, Docker, Object-oriented programming, Puppet"
System Administrator,Anthill,27 сеп.,"Azure, Azure Active Directory, Firewalls, Microsoft Exchange, Microsoft Office 365, Microsoft Technologies, SharePoint"
Site Reliability Engineer (m/f/d),Chaos,27 сеп.,"Ansible, Go, Google Cloud, Grafana, NoSQL, Prometheus, Python"
"DevOps Architect, Platform&Payments Department",EGT Digital,27 сеп.,"Amazon CloudWatch, Kafka, Terraform, Redis, RabbitMQ, Python, Prometheus"
24/7 Junior Cloud Operations Engineer,SAP,27 сеп.,"AWS, Azure, English, Google Cloud, Linux/UNIX, MySQL"
Cloud Development – Continuous Integration,SAP,27 сеп.,"AWS, Azure, Bash, English, Google Cloud, Jenkins, Linux"
System Architect,Delasport,27 сеп.,"Docker, English, Google Cloud, Java, Kubernetes, Node.js, PHP"
ORACLE Database Administrator,TechnoLogica,27 сеп.,"AIX, Oracle, VMware, VirtualBox, Tomcat, Solaris, PostgreSQL"
ORACLE SQL & PL/SQL Developer,TechnoLogica,27 сеп.,"Angular, Apex, English, JSON, Oracle, PL/SQL, SQL"
(Associate) Development Architect Cloud in SAP Business Technology Platform Cybersecurity Team,SAP,26 сеп.,"Cloud Foundry, English, Go, Java, Kubernetes, Python, TypeScript"
DevOps Platform Engineer,SAP,26 сеп.,"AWS, Kubernetes, Unix, Terraform, TCP/IP, Shell, Python"
Senior Site Reliability Engineer,SAP,26 сеп.,"Bash, Cloud Foundry, Docker, Dynatrace, English, GitHub, Grafana"
Senior DevOps Engineer,Amusnet,26 сеп.,"Ansible, Argo CD, AWS, C++, Docker, GitLab, Helm"
Senior Cloud Software Engineer in SAP Business Technology Platform Cybersecurity Team,SAP,26 сеп.,"Cloud Foundry, English, Go, Java, Kubernetes, Python, TypeScript"
Compliance Architect / Product Security Sr. Engineer/Expert,SAP,26 сеп.,English
DevOps Engineer for Unified Connectivity,SAP,26 сеп.,"AWS, Java, SonarQube, Python, OAuth, Maven, Kubernetes"
Devops Engineer,Visteon,26 сеп.,"C/C++, Docker, Git, Groovy, Jenkins, Kubernetes, Scrum"
Cloud DevOps Engineer,dormakaba business services,26 сеп.,"Amazon DynamoDB, Microsoft SQL Server, Terraform, Python, PowerShell, PostgreSQL, Npm"
Database Architect,TopView Sightseeing,26 сеп.,SQL
Product Integration and Support Engineer,Cognyte,26 сеп.,"AWS, Azure Active Directory, Docker, Google Cloud, Hyper-V, Linux, Microsoft Windows Server"
Corporate Network & Security Engineer,Nuvei,25 сеп.,"AWAF, Azure Active Directory, Cisco, DNS, Firewalls, Fortinet, Palo Alto"
Senior Cloud & DevOps Engineer,SEEBURGER,25 сеп.,"AWS, English, Git, Helm, Jenkins, Kubernetes, Terraform"
Development or DevOps Expert for Cloud Foundry Runtime and Core,SAP,25 сеп.,"Cloud Foundry, Docker, Java, JavaScript, JSON, Microservices, Node.js"
"DevOps Engineer, Platform&Payments Department",EGT Digital,25 сеп.,"Docker, English, Git, Jenkins, Kubernetes"
Site Reliability Engineer (SRE),EGT Digital,25 сеп.,"Ansible, Argo CD, AWS CloudFormation, Chef, ELK stack, Flux, Grafana"
DBA Team Leader,Nuvei,25 сеп.,"AWS, Azure, English, Linux/UNIX, MySQL, PostgreSQL"
System Administrator,Pronet Gaming,22 окт.,"AWS, CentOS, Java, Linux, Nagios, Nginx, Python"
DevOps Engineer,Akkodis Bulgaria,22 окт.,"AWS, Azure, Docker, Git, Google Cloud, Kubernetes, Linux"
Virtualization Engineer,Akkodis Bulgaria,22 окт.,"Ansible, Bash, English, Hyper-V, PHP, Python, VMware vSphere"
Cloud Architect,Akkodis Bulgaria,22 окт.,"AWS, Azure, Docker, English, Google Cloud, Kubernetes, Linux"
Security Expert,Akkodis Bulgaria,22 окт.,"Azure Active Directory, CyberArk, English, Kubernetes, Microsoft Windows Server, Rapid7, Red Hat"
Solution Architect,Akkodis Bulgaria,22 окт.,"Apache, Confluence, English, GitHub, GitLab, Jira, JSON"
Internal IT Auditor,SumUp,22 окт.,"Cisco, ITIL, NIST CSF"
Специалист ИТ Сигурност,VIVACOM,22 окт.,"Cisco, English, Linux, SIEM"
Engineer Access Network,A1 Bulgaria,21 окт.,"DHCP, English"
Oracle Програмист,Information Services JSC,21 окт.,"Git, Oracle, PL/SQL, SQL, Subversion"
Application Security Architect,UKG,21 окт.,"AWS, Azure, Cisco, Google Cloud, NIST CSF, OAuth, OpenID"
Infrastructure Director Development Lead,Constructor,21 окт.,"Ansible, AWS, Azure, Docker, Google Cloud, Grafana, Kubernetes"
Network Administrator,myPOS Technologies,21 окт.,"Cisco, Fortinet, HaProxy, Nginx, TCP/IP"
SQL Developer,A1 Bulgaria,20 окт.,"Microsoft SQL Server, MySQL, Oracle, PostgreSQL, SQL"
Application Database Administrator,A1 Bulgaria,20 окт.,"English, Linux/UNIX, Oracle, PostgreSQL"
Cyber Security Analyst,Teva Pharma,18 окт.,English
MECM/SCCM Administrator,A1 Bulgaria,18 окт.,"Azure Active Directory, ITIL, Microsoft SCCM, Microsoft Windows Server"
DevOps Lead,Tarya Fintech Bulgaria,18 окт.,"Ansible, AWS, Azure, Docker, English, Google Cloud, Kubernetes"
Principal Network Engineer,Progress,18 окт.,"Ansible, AWS, Azure, Cisco, Git, GitHub, Linux"
PL/SQL Software Engineer,Fadata,18 окт.,"English, Oracle, PL/SQL"
DevOps Engineer,Luxoft,17 окт.,"Azure, Azure DevOps, Docker, English, Kubernetes"
IT System Engineer (focus Linux/VMware),Zühlke,17 окт.,"Bash, English, Linux, PowerShell, Python, Ubuntu, VMware"
IT System Engineer (focus MS SQL and Windows),Zühlke,17 окт.,"English, Microsoft SQL Server, Microsoft Windows Server, PowerShell, VMware"
MSSQL Administrator(maternity cover),A1 Bulgaria,17 окт.,"English, ITIL, Microsoft SQL Server, SQL"
Senior Azure Cloud Engineer,A1 Bulgaria,17 окт.,"ARM, Azure, Azure Active Directory, Bash, C#, Java, JavaScript"
Backup Infrastructure Engineer,A1 Bulgaria,17 окт.,"Commvault, English, Microsoft 365, Veeam"
Senior Application Security Engineer,Delasport,17 окт.,"AWAF, AWS, Azure, Check Point, EDR, Google Cloud, Kubernetes"
Security Service Engineer,People and Places,17 окт.,"AWAF, English, OWASP"
Network Security Engineer,People and Places,17 окт.,"Cisco, English, Firewalls, Fortinet, Palo Alto"
Database Administrator (Microsoft/Azure),A1 Bulgaria,16 окт.,"Azure, Microsoft SQL Server"
Senior Signaling Support and Integration Engineer (m/f/d),Infopulse Bulgaria,16 окт.,"Linux, TCP/IP"
Lead Systems Engineer (Cloud & Virtualization),HedgeServ,16 окт.,"Azure Active Directory, Citrix, PowerShell, Terraform, VMware"
Network Security Engineer,People and Places,16 окт.,"Cisco, English, Firewalls, Fortinet, Palo Alto"
Networking Engineer,Gamito,16 окт.,"English, Git, Linux"
Cloud DevOps Engineer,A1 Bulgaria,16 окт.,"Ansible, Azure, Bash, Chef, Docker, English, GitHub"
IP Security Firewall Engineer,A1 Bulgaria,16 окт.,"Ansible, Barracuda, Bash, Check Point, Cisco, Fortinet, Git"
Senior Network Engineer (m/f/d),Infopulse Bulgaria,16 окт.,"Ansible, Check Point, Cisco, English, Gigamon, Python"
Senior Mainframe System Engineer – Sofia/Plovdiv,Commerzbank Digital Technology Center,16 окт.,"English, TCP/IP, Unix, zOS"
GOLANG CLOUD SOFTWARE ENGINEER FOR DATABASE BACKEND – STACKIT (m/f/d),Schwarz IT,16 окт.,"Go, Kubernetes"
Cyber Security Architect,A1 Bulgaria,16 окт.,"Azure Sentinel, SIEM, Splunk"
DevOps Engineer,Sciant (part of Sirma Group),16 окт.,"Bash, English, Linux/UNIX, OpenStack, Perl, Python, VMware ESXi"
SQL Server DBA,UltraPlay,16 окт.,"English, Microsoft SQL Server, SQL, T-SQL"
Senior System Administrator,Pronet Gaming,16 окт.,"Java, Linux, Nagios, Nginx, Python, Shell, Unix"
Старши специалист Технологии за Пренос,VIVACOM,16 окт.,"English, Perl, Python, Unix"
Tibco Application Support Engineer,A1 Bulgaria,15 окт.,"English, Git, IBM MQ, Java, Kafka, Kubernetes, Linux/UNIX"
IT Operations Specialist,Milestone Systems Bulgaria,15 окт.,"AWS, Azure, Azure Active Directory, English, Hyper-V, Linux, Microsoft Windows Server"
DevOps Engineer (Digital Banking Solutions) – Maternity Cover,Commerzbank Digital Technology Center,15 окт.,"Azure, Docker, English, Microsoft SQL Server, Podman, Red Hat OpenShift"
DevOps Specialist,A1 Bulgaria,14 окт.,"English, Linux/UNIX, SQL"
Junior DevOps & Cloud Engineer,ITGix,14 окт.,"English, Linux/UNIX"
Integrations Manager,Pariplay,14 окт.,"Bamboo, DNS, English, Git, JavaScript, Jenkins, Jira"
Младши системен администратор/ Junior System Administrator,A1 Bulgaria,14 окт.,English
IP Network and Security Engineer,A1 Bulgaria,14 окт.,"Barracuda, Check Point, Cisco, English, Firewalls"
NOC Engineer,Gamito,14 окт.,"English, Linux, Microsoft Windows Server"
Information Security Engineer,ManpowerGroup Bulgaria,14 окт.,Cisco
"Експерт по мрежова и информационна сигурност, II степен в отдел „Оперативно наблюдение киберсигурност“",Electronic Governance Infrastructure,14 окт.,"C, English, JavaScript, Network, Python, Ruby, SIEM"
Експерт по мрежова и информационна сигурност I степен в отдел „Оперативно наблюдение киберсигурност“,Electronic Governance Infrastructure,14 окт.,"C, English, JavaScript, Network, Python, Ruby, SIEM"
Младши експерт в отдел „Национален екип за реагиране при инциденти с компютърната сигурност“,Electronic Governance Infrastructure,14 окт.,Network
ICT Risk Management Chief Expert,DSK Bank,14 окт.,"Cisco, English"
IT and InfoSec Risk & Compliance Manager,Paysafe,14 окт.,English
Database Administrator (Azure),A1 Bulgaria,13 окт.,"Azure, Azure Data Factory, Azure Synapse Analytics, English, Linux, SQL, Unix"
Hosted Communication Services Engineer,A1 Bulgaria,13 окт.,English
Network Infrastructure Consultant,Endava,11 окт.,"Ansible, Arista, Chef, Cisco, Citrix, English, Fortinet"
"Platform Technology Specialist (Docker, Kubernetes)",A1 Bulgaria,11 окт.,"Docker, Kubernetes, Podman, Rancher, SUSE"
Technical Lead,Kin + Carta,11 окт.,"AWS, Azure, Docker, GitHub, GitLab, Google Cloud, Jenkins"
Application Administrator,ManpowerGroup Bulgaria,11 окт.,"English, IIS, JavaScript, Microsoft SQL Server, Microsoft Windows Server, Oracle, PL/SQL"
VMWare and Storage Administrator,DSK Bank,11 окт.,"English, Microsoft Windows Server, Storage, Veeam, VMware vSphere"
Technology Architect,DSK Bank,11 окт.,"DNS, English, Linux, TCP/IP"
Mobile Packet Core Support Engineer,A1 Bulgaria,10 окт.,"Jenkins, Linux, Python"
Junior DevOps Engineer,ManpowerGroup Bulgaria,10 окт.,English
Information Security Engineer,DSK Bank,10 окт.,"Ansible, MariaDB, Terraform, RabbitMQ, Python, Puppet, PostgreSQL"
Senior DevOps Engineer,Trading 212,10 окт.,"MITRE ATT&CK, Python, Shell, SIEM, TCP/IP"
Security Engineer,Trading 212,10 окт.,"Azure Active Directory, DNS, Microsoft Office 365, Microsoft Windows Server, PowerShell"
Senior Solution Specialist – Active Directory,Akkodis Bulgaria,10 окт.,"Ansible, AWS, Azure, Docker, Google Cloud, IaaS, Kubernetes"
Senior Cloud Engineer,People and Places,10 окт.,SIEM
Security Engineer,myPOS Technologies,9 окт.,"Bash, English, Oracle, Oracle Data Guard, PL/SQL, Python, Red Hat"
Oracle Database Administrator (Hospitality Industry),Coherent Solutions,9 окт.,English
Information Security Risk & Compliance Analyst,Reward Gateway,9 окт.,"English, Linux"
Junior DevOps SRE engineer,ITGix,8 окт.,"MySQL, SQL, T-SQL"
Expert in Application Support Team,Smart IT,8 окт.,"Cisco, English, OSI model, TCP/IP"
Network Engineer,IBM Bulgaria,8 окт.,"ActiveMQ, Helm, TCP/IP, Splunk, Python, Prometheus, New Relic"
Senior CloudOps Engineer,Taulia,8 окт.,"Cisco, English, German"
Network Planning Engineer,A1 Bulgaria,8 окт.,"ARM, AWS, AWS CloudFormation, Azure, DNS, Kubernetes, Linux"
Cloud Delivery Manager,CBTW,8 окт.,"ARM, Azure, DNS, Kubernetes, Linux, Microsoft Windows Server, TCP/IP"
AWS Cloud DevOps Engineer,CBTW,8 окт.,"AWS, AWS CloudFormation, DNS, Kubernetes, Linux, Microsoft Windows Server, TCP/IP"
Site Reliability Engineer,GeoWealth Development,8 окт.,"Java, Microservices, OpenTelemetry"
"Junior Network Engineer, Tier 2",GTT,8 окт.,"Cisco, Juniper, TCP/IP"
"Lead Network Engineer, Tier 2",GTT,8 окт.,"Cisco, Fortinet, Juniper, Junos OS, Palo Alto, Unix"
"Helpdesk Specialist and Infrastructure, IT",VM Finance Group,8 окт.,"English, Intune, Microsoft Office"
Senior M365 System Administrator,PHOENIX Pharma,8 окт.,"English, Microsoft 365, Microsoft Entra ID, PowerShell"
Database Developer,Effortel,8 окт.,"English, Git, Oracle"
Expert APP support,Smart IT,7 окт.,"MySQL, SQL, T-SQL"
Senior Cyber Security Engineer,Nexo,7 окт.,"AWS, Firewalls, SIEM"
Network Support Engineer,HMG LINKS,7 окт.,"Cisco, English, TCP/IP"
"Oracle PL/SQL developer, Ref #: DZI1089",DZI,7 окт.,"English, Oracle, Oracle Forms & Reports 12c, PL/SQL"
IP Data Center Network Engineer,A1 Bulgaria,7 окт.,"Cisco, English, Hyper-V, Nexus"
Senior System Administrator,A1 Bulgaria,7 окт.,"AIX, ITIL, Linux, Red Hat, SaltStack"
