Job Title,Company Name,Posted Date,Tech Stack
"Lead Network Engineer, Tier 2",GTT,8 окт.,"Cisco, Fortinet, Juniper, Junos OS, Palo Alto, Unix"
"Helpdesk Specialist and Infrastructure, IT",VM Finance Group,8 окт.,"English, Intune, Microsoft Office"
Technical Support Engineer,Top Skills Recruitment,8 окт.,"AutoCad, English, Microsoft Office"
Expert APP support,Smart IT,7 окт.,"MySQL, SQL, T-SQL"
Junior APP support,Smart IT,7 окт.,SQL
Network Support Engineer,HMG LINKS,7 окт.,"Cisco, English, TCP/IP"
IP Data Center Network Engineer,A1 Bulgaria,7 окт.,"Cisco, English, Hyper-V, Nexus"
Network Operations Center Trainees,CETIN Bulgaria,7 окт.,"English, Network"
IP Service Delivery Engineer,A1 Bulgaria,7 окт.,"Cisco, English"
Junior B2B Support & Monitoring Agent,Pateplay,7 окт.,"Confluence, English, Jira"
Remote Desktop Service Expert (Citrix),A1 Bulgaria,7 окт.,"Citrix, English, Envoy, Hyper-V, Microsoft Technologies, PowerShell, VMware Horizon"
Operational Site Support Team Lead,Ocado Technology,7 окт.,"English, ITIL, OSI model"
Cloud Site Reliability Engineer,DSK Bank,7 окт.,"Azure, English, Kubernetes, Microservices, RDBMS, Red Hat OpenShift"
Technical Application Support Engineer Level 2,Experian,7 окт.,"English, IIS, ITIL, Microsoft Windows Server, Red Hat, SQL, TCP/IP"
Cloud Applications Support Engineer,Endava,7 окт.,".NET, Apache, AWS, Azure, C#, IIS, Java"
Configuration Manager (CMDB),A1 Bulgaria,6 окт.,"English, Java, JavaScript, Linux, ServiceNow, SQL"
IT Support Specialist,WorkNomads,4 окт.,"English, Firewalls"
Junior IT Support,Smart IT,3 окт.,"Azure Active Directory, Cisco, DNS, English, Microsoft Office, Microsoft Office 365, MikroTik"
L2 Support Engineer,A1 Bulgaria,3 окт.,"Bitbucket, Confluence, English, Jira, Microsoft SQL Server, Oracle, PostgreSQL"
Technical Support Specialist,tbi bank,3 окт.,"English, Microsoft Office 365, PowerShell"
